pathway,pval,padj,log2err,ES,NES,size
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS,3.9558995405762e-07,0.00102365071453535,0.674962860011025,-0.636878281996515,-2.24162984032301,61
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY,7.22917171282024e-07,0.00102365071453535,0.659444398037935,-0.561709836020133,-2.12512884552124,92
GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,1.54680855521599e-06,0.00146018727612389,0.643551836150722,-0.631216301788164,-2.21126732273256,60
GOBP_DETECTION_OF_CHEMICAL_STIMULUS,2.20184038495835e-06,0.00146690254665814,0.627256739718528,-0.616970303659618,-2.17155943666503,61
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,2.58987031542751e-06,0.00146690254665814,0.627256739718528,-0.52476152893301,-2.00669266269665,102
GOBP_SENSORY_PERCEPTION_OF_SMELL,3.14828222700956e-06,0.00147774553173324,0.627256739718528,-0.656787036030987,-2.19460505067148,46
GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY,4.0427715477358e-06,0.00147774553173324,0.610526878385931,0.400584406741123,1.69381370403072,320
GOMF_OLFACTORY_RECEPTOR_ACTIVITY,4.17442240602612e-06,0.00147774553173324,0.610526878385931,-0.675483582510747,-2.22454884361523,43
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,1.02419763841268e-05,0.00322280856887191,0.593325476396405,-0.489838961953032,-1.94614046901758,122
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,2.76106912771885e-05,0.00760771362196901,0.575610261071129,0.395153239364091,1.6409273159599,267
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,2.95497351135802e-05,0.00760771362196901,0.575610261071129,-0.421158534268749,-1.74289959369595,171
GOBP_REGULATION_OF_IMMUNE_RESPONSE,4.95072712080235e-05,0.0116837160050936,0.557332238758646,-0.478509772921761,-1.87499006005226,112
GOBP_DETECTION_OF_STIMULUS,5.75125249356958e-05,0.0125288823552224,0.557332238758646,-0.560278762948226,-2.05110088558045,69
GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY,9.52596069777985e-05,0.0192696576400804,0.538434096309916,-0.448756859287045,-1.80273744814867,130
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,0.000146706018210548,0.0276980962381514,0.518848077743792,0.38847951498631,1.60484653418161,251
GOBP_CELL_KILLING,0.000171540621463089,0.0303626899989667,0.518848077743792,-0.682088770017142,-2.04293857551016,27
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,0.000184954435816851,0.0308112330725484,0.518848077743792,-0.433395450776599,-1.75030265211359,139
GOMF_SEQUENCE_SPECIFIC_DNA_BINDING,0.00019893163482734,0.0312985772128349,0.518848077743792,0.371427807206015,1.55170873300304,281
GOBP_REGULATION_OF_PROTEIN_TRANSPORT,0.000248641727654736,0.0370607038272743,0.49849310876659,-0.651024713973842,-2.0206217256336,34
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.000373644213675489,0.0529080206564492,0.49849310876659,-0.422058498101716,-1.70235346772182,134
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,0.000407007492148759,0.0548878675126326,0.49849310876659,-0.433283456081094,-1.72801206055486,120
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,0.000459104780381365,0.0590993062745466,0.49849310876659,-0.412660126404832,-1.66417473478285,142
GOBP_NEGATIVE_REGULATION_OF_TRANSPORT,0.000550161094415719,0.0639517644112649,0.477270815362862,-0.609557328369459,-1.9516314501902,37
GOBP_CIRCULATORY_SYSTEM_PROCESS,0.000554352257470016,0.0639517644112649,0.477270815362862,-0.517975689159489,-1.79184116986789,54
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.000564545942896053,0.0639517644112649,0.477270815362862,-0.396656212481755,-1.6371468659279,167
GOBP_REGULATION_OF_CELLULAR_LOCALIZATION,0.000603573189106302,0.0657430489057326,0.477270815362862,-0.455853392200068,-1.72713936670025,95
