pathway,pval,padj,log2err,ES,NES,size
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY,1.03226031519821e-07,0.000292336121264133,0.704975715167238,-0.583814629194603,-2.23829390538474,92
GOBP_CIRCULATORY_SYSTEM_PROCESS,5.35259436820316e-07,0.000494135349711044,0.659444398037935,-0.656670627151217,-2.27195571581964,54
GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY,5.72313063684127e-07,0.000494135349711044,0.659444398037935,0.422931454465273,1.7594579602758,320
GOBP_DETECTION_OF_CHEMICAL_STIMULUS,8.72414106128255e-07,0.000494135349711044,0.659444398037935,-0.626947978095925,-2.21810270105796,61
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS,8.72414106128255e-07,0.000494135349711044,0.659444398037935,-0.626910886618309,-2.21797147373199,61
GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,2.37215492040156e-06,0.00106409519527223,0.627256739718528,-0.622260211590657,-2.20614412326926,60
GOBP_REGULATION_OF_IMMUNE_RESPONSE,2.63017880187344e-06,0.00106409519527223,0.627256739718528,-0.509041214310993,-1.99271318772703,112
GOMF_OLFACTORY_RECEPTOR_ACTIVITY,3.09000069251543e-06,0.00109386024515046,0.627256739718528,-0.67329298930367,-2.21087648338714,43
GOBP_SENSORY_PERCEPTION_OF_SMELL,4.31390191362603e-06,0.00135744113548766,0.610526878385931,-0.657450953611235,-2.19730963938099,46
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,1.24799621224372e-05,0.00353432527307421,0.593325476396405,-0.429496921260947,-1.79124146693767,171
GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY,1.67194984572001e-05,0.00430451087552642,0.575610261071129,-0.465019228746304,-1.84685341481219,130
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,2.01703934378229e-05,0.00476021285132621,0.575610261071129,-0.460268111001546,-1.83553876203696,134
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,2.33638002597213e-05,0.00508971402581005,0.575610261071129,-0.492763441544684,-1.90525325950936,102
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,3.26209154484186e-05,0.00659874518213724,0.557332238758646,-0.424231007900598,-1.76752281727233,167
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,4.13687178651835e-05,0.00781041393294665,0.557332238758646,0.402211430623139,1.65178989518771,267
GOMF_SEQUENCE_SPECIFIC_DNA_BINDING,5.94916917263665e-05,0.0105300294355669,0.557332238758646,0.393469148973355,1.61788856809995,281
GOBP_EXPORT_FROM_CELL,7.02426990490449e-05,0.0117016072768762,0.538434096309916,-0.502054385624449,-1.89857895497509,85
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,8.12516507168278e-05,0.0127835930461142,0.538434096309916,0.398729604689654,1.61995974198448,251
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,9.51599063787325e-05,0.0141838344665563,0.538434096309916,-0.459699402990125,-1.81047093898254,122
GOBP_DETECTION_OF_STIMULUS,0.000106427702184286,0.0146168843101387,0.538434096309916,-0.549732951285753,-1.98529208755391,69
GOBP_REGULATION_OF_BLOOD_CIRCULATION,0.000108387913316706,0.0146168843101387,0.538434096309916,-0.714126500866447,-1.9774819510834,23
GOBP_PROTEIN_LIPID_COMPLEX_ORGANIZATION,0.000159914696752028,0.0197183327141014,0.518848077743792,-0.945583052256822,-1.76564188040073,5
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,0.000165975172792387,0.0197183327141014,0.518848077743792,-0.618912843154107,-1.96241299267717,38
GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY,0.000167104514526283,0.0197183327141014,0.518848077743792,0.693627038503614,1.97985780888872,28
GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY,0.000202368646464204,0.022924320271465,0.518848077743792,0.594413998571792,1.91283529144987,51
GOBP_HEART_PROCESS,0.000251655489440179,0.0274110902344071,0.49849310876659,-0.679484581501128,-1.91757655504517,25
GOBP_REGULATION_OF_HEART_CONTRACTION,0.000286273108972299,0.0300268683188723,0.49849310876659,-0.723805695973757,-1.99686342431898,22
GOBP_REGULATION_OF_BLOOD_PRESSURE,0.000353988127500171,0.0358033706100173,0.49849310876659,-0.74415812594825,-1.99593545634291,19
GOMF_GROWTH_FACTOR_BINDING,0.000368342108451799,0.0359705121081205,0.49849310876659,-0.913289722628566,-1.77550244580197,6
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY,0.000408745936396136,0.0385856163957953,0.49849310876659,-0.496731155562792,-1.81315562823871,70
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,0.000494011266731901,0.0427007166789186,0.477270815362862,-0.871095989706427,-1.85414945119705,8
GOMF_INHIBITORY_MHC_CLASS_I_RECEPTOR_ACTIVITY,0.000497709295159983,0.0427007166789186,0.477270815362862,-0.831991411701557,-1.89230787515898,10
GOMF_MHC_CLASS_I_RECEPTOR_ACTIVITY,0.000497709295159983,0.0427007166789186,0.477270815362862,-0.831991411701557,-1.89230787515898,10
GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE,0.000522627925627888,0.0427007166789186,0.477270815362862,-0.466972311710831,-1.74816675711815,82
GOBP_INFLAMMATORY_RESPONSE,0.000527727783814319,0.0427007166789186,0.477270815362862,-0.461171559732097,-1.77084153639703,97
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT,0.000625206530754932,0.0491829137527213,0.477270815362862,-0.703576560381331,-1.91413636716692,20
GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS,0.000706195513223766,0.0540525863094515,0.477270815362862,-0.6636847451659,-1.85332878103735,24
GOBP_METAL_ION_TRANSPORT,0.000779496819659651,0.0580930261388456,0.477270815362862,-0.459829760689238,-1.7120904456575,80
