EnsemblID	GeneID	count
ENSG00000003096	90293	15
ENSG00000004776	126393	301
ENSG00000004777	115703	13
ENSG00000005022	292	110
ENSG00000005893	3920	1014
ENSG00000006432	4293	60
ENSG00000006659	56891	19
ENSG00000006712	54623	257
ENSG00000006756	414	57
ENSG00000006757	8228	90
ENSG00000007047	57787	129
ENSG00000007129	90273	9
ENSG00000007255	79090	18
ENSG00000007306	1087	51
ENSG00000007372	5080	2094
ENSG00000008056	6853	690
ENSG00000008438	8993	213
ENSG00000009694	10178	18472
ENSG00000009830	29954	102
ENSG00000010310	2696	380
ENSG00000011114	55727	33
ENSG00000011332	8193	14
ENSG00000011422	5329	3449
ENSG00000011478	54814	37
ENSG00000011485	5536	217
ENSG00000011590	27033	46
ENSG00000011600	7305	569
ENSG00000012061	2067	2330
ENSG00000012124	933	2297
ENSG00000012211	4007	8
ENSG00000012963	55148	21
ENSG00000012983	11183	32
ENSG00000013275	5704	86
ENSG00000013523	23357	5
ENSG00000015133	440193	73
ENSG00000015285	7454	1462
ENSG00000017483	92745	260
ENSG00000018610	63932	7
ENSG00000018869	147948	60
ENSG00000019485	56981	12
ENSG00000019505	57586	38
ENSG00000020426	4331	123
ENSG00000020577	23034	89
ENSG00000021488	11136	187
ENSG00000021645	9369	145
ENSG00000022267	2273	370
ENSG00000022556	55655	164
ENSG00000022976	55778	2
ENSG00000023608	6617	22
ENSG00000024422	30846	110
ENSG00000025434	10062	1125
ENSG00000026508	960	15386
ENSG00000027075	5583	125
ENSG00000028277	5452	737
ENSG00000029364	55334	55
ENSG00000030066	23279	35
ENSG00000032219	5926	50
ENSG00000033170	2530	321
ENSG00000036473	5009	683
ENSG00000036530	10858	231
ENSG00000040608	65078	390
ENSG00000041802	55341	13
ENSG00000042088	55775	299
ENSG00000042317	55812	39
ENSG00000042753	1175	80
ENSG00000046774	51438	151
ENSG00000047597	7504	173
ENSG00000049449	5954	93
ENSG00000049768	50943	13038
ENSG00000049769	89801	8
ENSG00000050130	51528	8
ENSG00000052841	55761	9
ENSG00000052850	60529	103
ENSG00000053254	1112	92
ENSG00000053524	23101	4
ENSG00000053770	55745	52
ENSG00000054654	23224	136
ENSG00000054690	57475	4
ENSG00000054983	2581	528
ENSG00000056277	55609	5
ENSG00000056998	8908	40
ENSG00000058866	1608	49
ENSG00000060749	79832	16
ENSG00000062096	416	39
ENSG00000062370	7771	2
ENSG00000063169	29998	32
ENSG00000063241	79763	6
ENSG00000063244	11338	331
ENSG00000063245	29924	81
ENSG00000063322	55588	30
ENSG00000063515	2928	11
ENSG00000063761	57143	13
ENSG00000065923	84679	31
ENSG00000065989	5141	1913
ENSG00000066336	6688	2924
ENSG00000066382	744	32
ENSG00000066427	4287	1169
ENSG00000066455	9950	39
ENSG00000066629	2009	49
ENSG00000066735	26153	20
ENSG00000066739	55102	74
ENSG00000068308	55593	60
ENSG00000068323	7030	1166
ENSG00000068354	4943	39
ENSG00000068394	27238	6
ENSG00000068400	56850	20
ENSG00000068438	24140	37
ENSG00000068903	22933	1172
ENSG00000068985	8712	18
ENSG00000069399	602	462
ENSG00000069509	139341	195
ENSG00000069535	4129	3144
ENSG00000070010	7353	167
ENSG00000070182	6710	422
ENSG00000070269	54916	17
ENSG00000070367	10640	26
ENSG00000070371	8218	65
ENSG00000070413	9993	64
ENSG00000070778	11099	44
ENSG00000071246	22846	154
ENSG00000071537	6400	175
ENSG00000072042	51109	37
ENSG00000072110	87	1926
ENSG00000072121	23503	92
ENSG00000072274	7037	8288
ENSG00000072415	64398	110
ENSG00000072609	55743	237
ENSG00000073008	5817	865
ENSG00000073050	7515	2277
ENSG00000073282	8626	6236
ENSG00000073712	10979	285
ENSG00000073792	10644	772
ENSG00000073803	9175	120
ENSG00000073849	6480	384
ENSG00000075407	7587	10
ENSG00000075413	4140	73
ENSG00000075702	284403	111
ENSG00000075711	1739	491
ENSG00000076650	55094	9
ENSG00000076662	3385	461
ENSG00000076716	2239	131
ENSG00000076770	55796	39
ENSG00000076928	9138	90
ENSG00000077312	6626	319
ENSG00000077348	56915	42
ENSG00000077713	203427	11
ENSG00000077721	7319	89
ENSG00000078061	369	294
ENSG00000078081	27074	617
ENSG00000078304	5527	50
ENSG00000079385	634	836
ENSG00000079432	23152	490
ENSG00000079435	3991	1075
ENSG00000079462	5050	42
ENSG00000079805	1785	681
ENSG00000079999	9817	3730
ENSG00000080031	5794	46
ENSG00000080511	50700	18
ENSG00000080573	50509	62
ENSG00000080815	5663	3829
ENSG00000080823	5891	292
ENSG00000080824	3320	9700
ENSG00000081177	55218	14
ENSG00000081181	384	282
ENSG00000083817	55659	4
ENSG00000083844	9422	13
ENSG00000085063	966	2068
ENSG00000085117	3732	776
ENSG00000085185	63035	123
ENSG00000086544	80271	47
ENSG00000086548	4680	469
ENSG00000087299	79944	87
ENSG00000087301	57544	4
ENSG00000087302	51637	73
ENSG00000087303	22795	108
ENSG00000088038	4849	71
ENSG00000088053	51206	1328
ENSG00000088808	23368	72
ENSG00000089327	53827	111
ENSG00000089335	55900	6
ENSG00000089351	57655	13
ENSG00000089356	5349	80
ENSG00000089723	78990	48
ENSG00000089737	57062	35
ENSG00000089775	7597	28
ENSG00000089902	23186	262
ENSG00000089916	55668	3
ENSG00000090006	8425	140
ENSG00000090013	645	102
ENSG00000090060	10914	740
ENSG00000090061	8812	98
ENSG00000090339	3383	20404
ENSG00000090372	29888	37
ENSG00000090512	26998	112
ENSG00000090520	51726	85
ENSG00000090530	55214	45
ENSG00000090534	7066	2840
ENSG00000090539	8646	174
ENSG00000090615	2802	46
ENSG00000090924	64857	31
ENSG00000090932	10683	332
ENSG00000090971	57106	13
ENSG00000092009	1215	1374
ENSG00000092010	5720	145
ENSG00000092020	55012	32
ENSG00000092036	54930	5
ENSG00000092051	84502	11
ENSG00000092054	4625	896
ENSG00000092067	1053	244
ENSG00000092068	23428	81
ENSG00000092094	55644	97
ENSG00000092096	51310	66
ENSG00000092098	55072	187
ENSG00000092108	23256	54
ENSG00000092140	55632	17
ENSG00000092148	25831	73
ENSG00000092199	3183	806
ENSG00000092200	57096	138
ENSG00000092201	11198	107
ENSG00000092203	9878	18
ENSG00000092208	8487	84
ENSG00000092295	7051	846
ENSG00000092330	26277	240
ENSG00000093009	8318	351
ENSG00000093010	1312	5312
ENSG00000094631	10013	1899
ENSG00000095752	3589	1952
ENSG00000099203	11018	6
ENSG00000099337	9424	46
ENSG00000099338	57828	2
ENSG00000099341	5714	76
ENSG00000099814	283638	7
ENSG00000099889	421	51
ENSG00000099899	27037	17
ENSG00000099901	5902	136
ENSG00000099904	29801	45
ENSG00000099910	84861	16
ENSG00000099917	51586	74
ENSG00000099937	3053	426
ENSG00000099940	9342	136
ENSG00000099942	1399	511
ENSG00000099949	8216	183
ENSG00000099957	9127	13
ENSG00000099960	6545	35
ENSG00000100023	23759	38
ENSG00000100027	29799	13
ENSG00000100030	5594	41261
ENSG00000100034	9647	75
ENSG00000100038	8940	67
ENSG00000100056	8220	50
ENSG00000100075	6576	172
ENSG00000100084	7290	215
ENSG00000100433	54207	118
ENSG00000100439	63874	14
ENSG00000100441	23351	16
ENSG00000100442	2287	81
ENSG00000100445	56948	8
ENSG00000100448	1511	2506
ENSG00000100450	2999	160
ENSG00000100453	3002	5342
ENSG00000100461	55147	10
ENSG00000100462	10419	865
ENSG00000100473	1690	203
ENSG00000100478	11154	21
ENSG00000100479	5427	64
ENSG00000100483	79609	10
ENSG00000100485	6655	121
ENSG00000100490	8814	40
ENSG00000100503	51199	138
ENSG00000100504	5836	124
ENSG00000100505	114088	68
ENSG00000100519	5706	64
ENSG00000100522	64841	58
ENSG00000100523	80821	45
ENSG00000100526	1033	905
ENSG00000100528	10175	11
ENSG00000100532	10668	14
ENSG00000100554	51382	15
ENSG00000100557	55195	3
ENSG00000100558	26499	53
ENSG00000100564	5283	22
ENSG00000100565	145497	769
ENSG00000100567	5684	121
ENSG00000100568	10490	234
ENSG00000100575	26520	40
ENSG00000100577	2954	132
ENSG00000100578	9786	44
ENSG00000100580	283578	2
ENSG00000100583	161394	1
ENSG00000100591	10598	150
ENSG00000100592	23002	118
ENSG00000100593	145501	11
ENSG00000100596	9517	96
ENSG00000100599	79890	54
ENSG00000100600	5641	502
ENSG00000100601	8846	978
ENSG00000100603	22938	114
ENSG00000100604	1113	5747
ENSG00000100605	3705	43
ENSG00000100612	51635	19
ENSG00000100614	5494	243
ENSG00000100625	51804	72
ENSG00000100626	57452	19
ENSG00000100628	51676	52
ENSG00000100629	145508	14
ENSG00000100632	2079	63
ENSG00000100644	3091	22499
ENSG00000100647	9766	12
ENSG00000100650	6430	179
ENSG00000100652	6554	857
ENSG00000100664	1983	138
ENSG00000100665	5267	231
ENSG00000100678	6547	123
ENSG00000100697	23405	2998
ENSG00000100711	79038	12
ENSG00000100714	4522	318
ENSG00000100721	8115	428
ENSG00000100722	79882	39
ENSG00000100731	22990	11
ENSG00000100739	623	877
ENSG00000100744	51527	31
ENSG00000100749	7443	226
ENSG00000100764	5700	42
ENSG00000100767	89932	18
ENSG00000100784	9252	315
ENSG00000100796	55671	22
ENSG00000100802	60686	3
ENSG00000100804	5693	163
ENSG00000100811	7528	1780
ENSG00000100813	22985	90
ENSG00000100814	57820	41
ENSG00000100815	9321	74
ENSG00000100823	328	2515
ENSG00000100836	8106	287
ENSG00000100842	10278	271
ENSG00000100852	394	84
ENSG00000100865	51550	17
ENSG00000100867	10202	131
ENSG00000100883	6729	170
ENSG00000100884	9362	19
ENSG00000100888	57680	209
ENSG00000100889	5106	780
ENSG00000100890	9692	57
ENSG00000100897	80344	35
ENSG00000100902	5687	93
ENSG00000100906	4792	8334
ENSG00000100908	51016	5
ENSG00000100911	5721	99
ENSG00000100916	84312	11
ENSG00000100918	9985	105
ENSG00000100926	10548	32
ENSG00000100934	10484	77
ENSG00000100938	51292	11
ENSG00000100941	5411	184
ENSG00000100949	5875	14
ENSG00000100968	4776	170
ENSG00000101846	412	931
ENSG00000101856	10857	577
ENSG00000101882	79576	49
ENSG00000101883	158800	22
ENSG00000101883	104797536	769
ENSG00000101892	23439	33
ENSG00000101928	56180	12
ENSG00000101940	64743	5
ENSG00000101945	6839	450
ENSG00000101951	9506	36
ENSG00000101955	8406	49
ENSG00000101966	331	3614
ENSG00000101972	10735	368
ENSG00000101974	286410	40
ENSG00000101977	4168	331
ENSG00000101981	2158	3357
ENSG00000101997	28952	34
ENSG00000102001	778	195
ENSG00000102003	6855	5643
ENSG00000102007	5355	260
ENSG00000102034	2000	337
ENSG00000102038	6594	137
ENSG00000102055	80316	4
ENSG00000102057	3750	35
ENSG00000102078	9016	59
ENSG00000102096	11040	356
ENSG00000102100	7355	163
ENSG00000102103	10084	131
ENSG00000102109	27344	222
ENSG00000102145	2623	1895
ENSG00000102218	6102	277
ENSG00000102221	9767	11
ENSG00000102225	5127	79
ENSG00000102226	8237	121
ENSG00000102239	680	218
ENSG00000102241	27336	34
ENSG00000102243	51442	34
ENSG00000102245	959	6637
ENSG00000102265	7076	8342
ENSG00000102312	64840	217
ENSG00000102317	5935	186
ENSG00000102575	54	951
ENSG00000104044	4948	606
ENSG00000104783	3783	786
ENSG00000104814	11184	174
ENSG00000104823	1891	58
ENSG00000104824	3191	231
ENSG00000104825	4793	353
ENSG00000104835	54938	44
ENSG00000104853	1209	34
ENSG00000104856	5971	812
ENSG00000104859	11129	72
ENSG00000104866	284352	2
ENSG00000104879	1158	639
ENSG00000104881	10848	201
ENSG00000104884	2068	1950
ENSG00000104892	147700	22
ENSG00000104936	1760	991
ENSG00000104941	81492	16
ENSG00000104967	4858	62
ENSG00000104972	10859	1121
ENSG00000104974	11024	16
ENSG00000104983	729440	5
ENSG00000105048	7138	1208
ENSG00000105063	22870	15
ENSG00000105088	93145	35
ENSG00000105136	79744	7
ENSG00000105146	6795	166
ENSG00000105171	10775	55
ENSG00000105173	898	1412
ENSG00000105176	8725	119
ENSG00000105185	9141	178
ENSG00000105186	84079	33
ENSG00000105193	6217	261
ENSG00000105197	92609	54
ENSG00000105198	29124	215
ENSG00000105202	2091	569
ENSG00000105204	9149	160
ENSG00000105205	1178	503
ENSG00000105219	79935	5
