index,genome,identifier,file,clip,scale,sum_stat,description,Tissue,Cancer
4675,0,CNhs10608,/home/drk/tillage/datasets/human/cage/fantom/CNhs10608/summary/coverage.w5,384,1,sum,"Clontech Human Universal Reference Total RNA, pool1",NA,No
4676,0,CNhs10610,/home/drk/tillage/datasets/human/cage/fantom/CNhs10610/summary/coverage.w5,384,1,sum,"SABiosciences XpressRef Human Universal Total RNA, pool1",NA,No
4677,0,CNhs10612,/home/drk/tillage/datasets/human/cage/fantom/CNhs10612/summary/coverage.w5,384,1,sum,"Universal RNA - Human Normal Tissues Biochain, pool1",NA,No
4678,0,CNhs10615,/home/drk/tillage/datasets/human/cage/fantom/CNhs10615/summary/coverage.w5,384,1,sum,"adipose tissue, adult, pool1",adipose,No
4679,0,CNhs10616,/home/drk/tillage/datasets/human/cage/fantom/CNhs10616/summary/coverage.w5,384,1,sum,"bladder, adult, pool1",bladder,No
4680,0,CNhs10617,/home/drk/tillage/datasets/human/cage/fantom/CNhs10617/summary/coverage.w5,384,1,sum,"brain, adult, pool1",brain,No
4681,0,CNhs10618,/home/drk/tillage/datasets/human/cage/fantom/CNhs10618/summary/coverage.w5,384,1,sum,"cervix, adult, pool1",cervix,No
4682,0,CNhs10619,/home/drk/tillage/datasets/human/cage/fantom/CNhs10619/summary/coverage.w5,384,1,sum,"colon, adult, pool1",intestine,No
4683,0,CNhs10620,/home/drk/tillage/datasets/human/cage/fantom/CNhs10620/summary/coverage.w5,384,1,sum,"esophagus, adult, pool1",esophagus,No
4684,0,CNhs10621,/home/drk/tillage/datasets/human/cage/fantom/CNhs10621/summary/coverage.w5,384,1,sum,"heart, adult, pool1",heart,No
4685,0,CNhs10622,/home/drk/tillage/datasets/human/cage/fantom/CNhs10622/summary/coverage.w5,384,1,sum,"kidney, adult, pool1",kidney,No
4686,0,CNhs10624,/home/drk/tillage/datasets/human/cage/fantom/CNhs10624/summary/coverage.w5,384,1,sum,"liver, adult, pool1",liver,No
4687,0,CNhs10625,/home/drk/tillage/datasets/human/cage/fantom/CNhs10625/summary/coverage.w5,384,1,sum,"lung, adult, pool1",lung,No
4688,0,CNhs10626,/home/drk/tillage/datasets/human/cage/fantom/CNhs10626/summary/coverage.w5,384,1,sum,"ovary, adult, pool1",ovary,No
4689,0,CNhs10627,/home/drk/tillage/datasets/human/cage/fantom/CNhs10627/summary/coverage.w5,384,1,sum,"placenta, adult, pool1",placenta,No
4690,0,CNhs10628,/home/drk/tillage/datasets/human/cage/fantom/CNhs10628/summary/coverage.w5,384,1,sum,"prostate, adult, pool1",prostate,No
4691,0,CNhs10629,/home/drk/tillage/datasets/human/cage/fantom/CNhs10629/summary/coverage.w5,384,1,sum,"skeletal muscle, adult, pool1",muscle,No
4692,0,CNhs10630,/home/drk/tillage/datasets/human/cage/fantom/CNhs10630/summary/coverage.w5,384,1,sum,"small intestine, adult, pool1",intestine,No
4693,0,CNhs10631,/home/drk/tillage/datasets/human/cage/fantom/CNhs10631/summary/coverage.w5,384,1,sum,"spleen, adult, pool1",spleen,No
4694,0,CNhs10632,/home/drk/tillage/datasets/human/cage/fantom/CNhs10632/summary/coverage.w5,384,1,sum,"testis, adult, pool1",male rep.,No
4695,0,CNhs10633,/home/drk/tillage/datasets/human/cage/fantom/CNhs10633/summary/coverage.w5,384,1,sum,"thymus, adult, pool1",thymus,No
4696,0,CNhs10634,/home/drk/tillage/datasets/human/cage/fantom/CNhs10634/summary/coverage.w5,384,1,sum,"thyroid, adult, pool1",thyroid,No
4697,0,CNhs10635,/home/drk/tillage/datasets/human/cage/fantom/CNhs10635/summary/coverage.w5,384,1,sum,"trachea, adult, pool1",lung,No
4698,0,CNhs10636,/home/drk/tillage/datasets/human/cage/fantom/CNhs10636/summary/coverage.w5,384,1,sum,"retina, adult, pool1",eye,No
4699,0,CNhs10637,/home/drk/tillage/datasets/human/cage/fantom/CNhs10637/summary/coverage.w5,384,1,sum,"temporal lobe, adult, pool1",brain,No
4700,0,CNhs10638,/home/drk/tillage/datasets/human/cage/fantom/CNhs10638/summary/coverage.w5,384,1,sum,"postcentral gyrus, adult, pool1",brain,No
4701,0,CNhs10640,/home/drk/tillage/datasets/human/cage/fantom/CNhs10640/summary/coverage.w5,384,1,sum,"pons, adult, pool1",brain,No
4702,0,CNhs10641,/home/drk/tillage/datasets/human/cage/fantom/CNhs10641/summary/coverage.w5,384,1,sum,"parietal lobe, adult, pool1",brain,No
4703,0,CNhs10642,/home/drk/tillage/datasets/human/cage/fantom/CNhs10642/summary/coverage.w5,384,1,sum,"paracentral gyrus, adult, pool1",brain,No
4704,0,CNhs10643,/home/drk/tillage/datasets/human/cage/fantom/CNhs10643/summary/coverage.w5,384,1,sum,"occipital pole, adult, pool1",brain,No
4705,0,CNhs10644,/home/drk/tillage/datasets/human/cage/fantom/CNhs10644/summary/coverage.w5,384,1,sum,"nucleus accumbens, adult, pool1",brain,No
4706,0,CNhs10645,/home/drk/tillage/datasets/human/cage/fantom/CNhs10645/summary/coverage.w5,384,1,sum,"medulla oblongata, adult, pool1",brain,No
4707,0,CNhs10646,/home/drk/tillage/datasets/human/cage/fantom/CNhs10646/summary/coverage.w5,384,1,sum,"insula, adult, pool1",brain,No
